course,profesor,schedule,profesor_office
Física II,Por determinar,"L: 09:00 – 11:00 (M3), J: 09:00 – 10:30 (M3), V: 10:00 – 11:30 (M3)",
Cálculo,Francesco Aprile,"M: 9:00-10:30 (Aula 2), X: 11:00-12:30 (Aula 2)",03.311.0
Informática,Ana María González de Miguel,"M: 11:30-13:00 (Aula 2), X: 11:00-12:30 (Aula 2)",420 Bis
Circuitos Digitales,José Luis Imaña Pascual,"M: 13:00 – 14:00 (Aula 2), J: 09:00 – 10:30 (Aula 2), V: 11:00 – 12:30 (Aula 2)",02.226.0
Tratamiento y Análisis de Datos,Teresa Losada Doval,"M: 10:30-11:30 (Aula 2), J: 12:00-13:00 (Aula 2)",04.107.0
Álgebra,M. Ángeles Gómez Flechoso,"L: 11:00-12:30 (M3), M: 11:30-12:30 (M3), J: 10:30-12:00 (M3)",00.324.0
Análisis de Circuitos,Enrique San Andrés Serrano,"L 9:00-10:30, X 14:00-15:00, V 9:00-10:00 — Aula M3",03.111.0
Estructura de Computadores,Óscar Ruano Ramos,"L 17:30-19:00, M 17:30-19:00 — Aula 2","318, Fac. Informática"
Sistemas Lineales,María José Gómez Silva,"M 14:30-16:30, J 14:30-16:00 — Aula 2",02.225.0
Electromagnetismo II,Sagrario Muñoz San Martín,"M 16:30-17:30, X 16:00-17:30, J 16:00-17:00 — Aula M3",03.112.0
Ampliación de Matemáticas,Belén Rodríguez de Fonseca,"M 16:30-17:30, X 16:00-17:30, J 18:00-19:30 — Aula 2",04.112.0
Electrónica Física,María Luisa Lucía Mulas,"L 16:00-17:30, X 17:30-19:00, J 16:00-17:00 — Aula 2",03.110.0
Sistemas Operativos y de Tiempo Real,Francisco Miguel García Herrero,"L 15:00-16:00, M 15:00-16:30, J 15:00-16:00 — Aula M3","318, Fac. Informática"
Empresa y Gestión de Proyectos,Antonio Jesús Guillén López,"L 17:30–19:30, J 17:00–19:00, Aula M3","Pabellón 3º, Facultad de Económicas y Empresariales"
Procesamiento de Señales,Jesús Chacón Sombría,"L 16:00–17:30, M 17:30–18:30, X 15:00–16:00, Aula M3",02.225.0
Teoría de la Comunicación,José Luis Ayala Rodrigo,"L 11:30–13:00, M 10:30–11:30, X 11:00–12:00, Aula 5","312, Fac. Informática"
Física de Dispositivos Electrónicos,Ignacio Mártil de la Plaza,"L 10:00–11:30, J 12:30–13:30, Aula 5",03.109.0
Redes de Computadores,Carlos Núñez Gómez,"M 16:30–18:30, J 17:00–18:30, Aula 12","Fac. Informát., Desp. 310"
Circuitos de Alta Frecuencia,Luis Ángel Tejedor Álvarez,"M 9:00–10:30, J 11:00–12:30, Aula 5",03.219.B
Fundamentos de Compatibilidad Electromagnética,Pedro Antoranz Canales,"M 11:00–12:30, J 10:30–12:30, Aula 14",03.106.0
Electrónica Analógica,Álvaro del Prado Millán,"L 10:30–12:30, X 10:30–12:00, Aula 14",03.108.0
Comunicaciones Inalámbricas,Luis Ángel Tejedor Álvarez,"M 9:00–11:00, J 9:00–10:30, Aula 14",03.219.0
Control de Sistemas,María Tomás Rodríguez,"L 9:00–10:30, X 9:00–10:30, Aula 14",02.228.0
Instrumentación Electrónica,Francisco Javier Franco Peláez,"M 15:00–16:30, J 15:30–17:00, Aula 14",03.206.0
Diseño de Sistemas Digitales,José Luis Imaña Pascual,"L 14:30–16:00, X 15:30–17:00, Aula 14",02.226.0
Electrónica de Potencia,Álvaro del Prado Millán,"L 16:00–17:30, X 17:00–18:30, Aula 14",03.108.0
Arquitectura de Sistemas Integrados,Daniel A. Chaver Martínez,"M 15:00–16:30, J 15:00–16:30, Aula 14",02.236.0
Antenas,Pedro Antoranz Canales,Lunes 17:30-18:30 Aula 14; Jueves 14:30-15:30 Aula 14,03.106.0
Trabajo Fin de Grado,Pedro Antoranz Canales,Sin horario regular (tutorización individual),03.106.0
Prácticas en Empresa,Tribunal por determinar,Sin horario regular,03.104.0
Optimización de Sistemas,Clara I. López González,Jueves 9:30-11:00 Aula 5; Viernes 9:30-11:00 Aula 5,02.225.0
Bioingeniería,Paula Ibáñez García,Miércoles 9:30-11:00 Aula 5; Viernes 11:00-12:30 Aula 5,03.237.0
Robótica,José Antonio López Orozco,Lunes 12:30-14:00 Aula 14; Miércoles 12:30-14:00 Aula 14,02.234.0
Tecnologías Fotónicas para Comunicaciones,Mª Cruz Navarrete Fernández,Lunes y Jueves 12:30-14:00 Aula 14,01.309.0
